Bus Hound 6.01 capture on Windows Vista Service Pack 1 (x86). Complements of www.perisoft.net

108

  Device - Device ID (followed by the endpoint for USB devices)
            (24) USB2.0-MIDI
  Phase  - Phase Type
            OUT   Data out transfer          
  Data   - Hex dump of the data transferred
  Descr  - Description of the phase
  Cmd... - Position in the captured data


Device  Phase  Data                                                Description       Cmd.Phase.Ofs(rep)
  24.2  OUT    19 91 49 7f                                         ..I.                   380.1.0        
  24.2  OUT    19 91 40 75                                         ..@u                   381.1.0        
  24.2  OUT    19 91 39 6c                                         ..9l                   382.1.0        
  24.2  OUT    19 90 49 00                                         ..I.                   383.1.0        
  24.2  OUT    19 90 45 00                                         ..E.                   384.1.0        
  24.2  OUT    19 90 34 75                                         ..4u                   385.1.0        
  24.2  OUT    19 91 49 00                                         ..I.                   386.1.0        
  24.2  OUT    19 91 40 00                                         ..@.                   387.1.0        
  24.2  OUT    19 91 39 00                                         ..9.                   388.1.0        
  24.2  OUT    19 90 34 00                                         ..4.                   389.1.0        
  24.2  OUT    19 92 49 00                                         ..I.                   390.1.0        
  24.2  OUT    19 90 2d 7f                                         ..-.                   391.1.0        
  24.2  OUT    19 91 40 7f                                         ..@.                   392.1.0        
  24.2  OUT    19 91 39 75                                         ..9u                   393.1.0        
  24.2  OUT    19 91 45 7f                                         ..E.                   394.1.0        
